"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"28114","SN 2018dyv","19:43:17.290","-54:34:14.38","SN IIn","0.041","2MASX J19431917-5434257","0.039841","ASAS-SN, GaiaAlerts","None","ASAS-SN; GaiaAlerts","ASASSN-18pi","ASASSN-2 - Cassius, ASASSN-3 - Paczynski, Gaia - Gaia-photometric","SOAR - Goodman","1","1","","18.2","g-Sloan","2018-07-14 02:24:00","Chen","",""
"27342","SN 2018cvk","19:55:32.000","-49:53:11.54","SN IIn","0.024","ESO 233- G 007","0.02473","ASAS-SN, GaiaAlerts","None","ASAS-SN; GaiaAlerts","ASASSN-18nx","ASASSN-3 - Paczynski, Gaia - Gaia-photometric","SOAR - Goodman","1","1","","18.2","g-Sloan","2018-06-25 09:41:37","Dong","",""
"27288","SN 2018ctj","14:31:14.968","+17:11:34.79","SN IIn","0.0378","","","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF18aamftst","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.35","r-ZTF","2018-04-21 08:36:57","ZTF_Bot1","",""
"27143","SN 2018cnv","22:49:27.991","-24:23:00.49","SN IIn","0.047","","","ATLAS, Pan-STARRS1","None","ATLAS; Pan-STARRS1","ATLAS18qjm","ATLAS1 - ACAM1, PS1 - GPC1","SOAR - Goodman","1","1","","18.157","cyan-ATLAS","2018-06-12 13:59:31","ATLAS_Bot1","",""
"27127","SN 2018cnf","23:39:31.269","-03:08:55.25","SN IIn","0.0237","2MASX J23393156-0308565","0.023763","ASAS-SN, ATLAS","ZTF","ASAS-SN; ATLAS","ASASSN-18mr","ASASSN-5 - Payne-Gaposchkin, ASASSN-3 - Paczynski, ATLAS1 - ACAM1","P60 - SEDM","1","1","","17.7","g-Sloan","2018-06-14 08:09:36","Stanek","",""
"27013","SN 2018civ","15:31:14.040","+16:53:33.72","SN IIn","0.026","","","ZTF, Pan-STARRS1, GaiaAlerts","ZTF","GaiaAlerts; Pan-STARRS1; ZTF","ZTF18aaxxfgs","P48 - ZTF-Cam, PS1 - GPC1, Gaia - Gaia-photometric","","1","1","","19.25","r-ZTF","2018-06-04 07:36:28","ZTF_Bot1","",""
"26999","SN 2018cih","12:32:29.340","+04:53:20.22","SN IIn","0.0828","","","ZTF, Pan-STARRS1, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF18aaxjuwy","P48 - ZTF-Cam, PS1 - GPC1, Gaia - Gaia-photometric, ATLAS1 - ACAM1","","1","1","","18.83","r-ZTF","2018-06-05 04:43:40","ZTF_Bot1","",""
"26686","SN 2018bwr","15:28:26.170","+08:48:22.14","SN IIn","0.046","","","ATLAS, ZTF, Pan-STARRS1, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ATLAS18ppb","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1, Gaia - Gaia-photometric","","1","1","","18.585","cyan-ATLAS","2018-05-21 10:58:04","ATLAS_Bot1","",""
"26669","SN 2018bwa","19:19:34.718","+44:02:02.22","SN IIn","0.0475","","","ZTF","ZTF","ZTF","ZTF18aauenwu","P48 - ZTF-Cam","","1","1","","19.03","g-ZTF","2018-05-14 10:36:28","ZTF_Bot1","",""
"26240","SN 2018bih","18:30:43.850","+42:21:44.35","SN IIn","0.044","","","ATLAS, GaiaAlerts, Pan-STARRS1, ZTF","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ATLAS18ofo","ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1, P48 - ZTF-Cam","","1","1","","18.919","orange-ATLAS","2018-05-06 13:46:33","ATLAS_Bot1","",""
